1	949.19388
2	1398.87394
3	1437.38336
4	1453.69738
5	1449.7012200000001
6	1429.29502
7	1431.2735
8	1436.0223799999999
9	1436.0937
10	1439.1299199999999
11	1447.15256
12	1450.1326199999999
13	1458.31268
14	1458.50016
15	1461.60176
16	1470.3991600000002
17	1467.336
18	1473.0376
19	1478.57632
20	1483.66012
21	1488.51314
22	1491.8057199999998
23	1504.1002400000002
24	1505.69544
25	1513.7247
26	1512.62606
27	1521.64652
28	1528.3807199999999
29	1539.0851200000002
30	1543.86492
31	1556.59834
32	1558.9818
33	1581.82074
34	1592.6857599999998
35	1598.50624
36	1624.1044
