1	1249.5147666666667
2	2202.8043666666667
3	2781.0177333333336
4	3375.6235
5	3894.271666666666
6	4347.719466666666
7	4758.238033333333
8	5115.7564999999995
9	5425.999566666666
10	5706.224033333333
11	5940.703266666666
12	6159.292933333333
13	6339.0235
14	6490.696933333334
15	6627.0531666666675
16	6733.407633333333
17	6856.487133333333
18	6950.2393999999995
19	7016.202266666667
20	7072.609166666666
21	7142.704166666666
22	7215.498966666666
23	7258.286266666667
24	7297.157866666667
25	7349.404666666666
26	7374.983233333333
27	7399.516966666666
28	7405.554433333334
29	7442.5480333333335
30	7471.189766666666
31	7482.724533333334
32	7494.448633333333
33	7509.892666666667
34	7528.7812
35	7557.8512
36	7559.1093
