1	2083.9105
2	3977.2518999999998
3	5118.2342
4	6302.086433333334
5	7271.949633333334
6	8101.3929
7	8825.3609
8	9428.8844
9	9825.6022
10	10118.950033333334
11	10511.125066666667
12	10937.979400000002
13	11241.973899999999
14	11631.731166666666
15	11519.8513
16	11741.7921
17	12087.139133333332
18	12478.107533333334
19	12489.148933333332
20	12909.773433333334
21	13030.6988
22	13285.806766666667
23	13462.973566666667
24	13619.826233333333
25	13800.2908
26	13944.404133333335
27	14082.0303
28	14245.3918
29	14380.808066666666
30	14520.022233333331
31	14629.483566666668
32	14734.3679
33	14860.310566666667
34	14971.376499999998
35	15036.390933333334
36	15095.688999999998
