bench	linux	linux-ordered	daisy-nfsd	daisy-nfsd-seq-txn	daisy-nfsd-seq-wal
smallfile-1	2137.8763	2059.37814	1914.0505399999997	1959.6819199999998	1830.11818
smallfile-25	13847.71524	13768.3452	9198.507099999999	3793.3017	4630.30152
largefile	252.458	444.296	219.86599999999999	235.902	185.728
app	0.42239059999999995	0.4071046	0.4188344	0.421714	0.3991946
