1	1828.7362333333333
2	3228.1010666666666
3	4202.957966666666
4	4959.890233333333
5	5524.679500000001
6	5968.684
7	6255.325233333333
8	6470.888133333334
9	6609.777666666666
10	6721.684666666667
11	6839.846766666667
12	6976.938099999999
13	7057.303066666667
14	7129.508900000001
15	7159.791266666667
16	7208.8321
17	7305.569766666667
18	7332.692333333333
19	7367.698266666666
20	7463.253866666667
21	7524.4168666666665
22	7595.3334
23	7614.769166666666
24	7674.3315
25	7729.214933333334
26	7729.336333333334
27	7817.362866666666
28	7884.4403999999995
29	7839.270766666667
30	7964.324133333333
31	7998.934733333333
32	8032.778666666666
33	8086.532133333333
34	8090.9519
35	8160.132666666667
36	8221.9915
